Date, StartTime, EndTime, Amount, Mileage, Location
Oct-27, 08:51 PM, 09:31 PM, $5.50, 9, Middletown
Oct-28, 12:05 PM, 12:57 PM, $15.25, 22, Middletown
Oct-28, 04:40 PM, 05:52 PM, $18.25, 28, Middletown
Oct-28, 05:52 PM, 06:29 PM, $11.50, 10, Middletown
Oct-30, 10:39 AM, 11:30 AM, $9.50, 12, Middletown
Oct-30, 01:29 PM, 01:50 PM, $6.25, 4, Middletown
Oct-30, 05:10 PM, 06:19 PM, $32.50, 36, Middletown
Oct-30, 06:19 PM, 07:15 PM, $17.75, 20, Middletown
Oct-31, 05:01 PM, 06:46 PM, $25.75, 19, Middletown
Oct-31, 06:48 PM, 07:34 PM, $13.00, 14, Middletown
Nov-01, 06:32 PM, 07:39 PM, $24.00, 26, Middletown
Nov-02, 05:27 PM, 07:25 PM, $45.00, 42, Middletown
Nov-03, 05:45 PM, 07:39 PM, $34.77, 30, Middletown
Nov-03, 09:00 PM, 09:18 PM, $10.50, 6, Middletown
Nov-05, 10:16 AM, 10:34 AM, $6.00, 5, Middletown
Nov-05, 11:26 AM, 12:11 PM, $11.50, 8, Middletown
Nov-05, 05:22 PM, 06:26 PM, $14.75, 16, Middletown
Nov-05, 06:44 PM, 07:18 PM, $9.75, 20, Middletown
Nov-06, 11:53 AM, 01:31 PM, $34.50, 38, Middletown
Nov-06, 01:35 PM, 01:58 PM, $6.75, 4, Middletown
Nov-07, 04:21 PM, 04:59 PM, $9.00, 26, Middletown
Nov-08, 04:50 PM, 05:41 PM, $10.37, 13, Middletown
Nov-08, 05:42 PM, 07:09 PM, $27.00, 20, Middletown
Nov-08, 07:27 PM, 07:44 PM, $7.75, 4, Middletown
Nov-09, 05:02 PM, 07:03 PM, $28.59, 26, Middletown
Nov-09, 07:04 PM, 07:30 PM, $14.25, 8, Middletown
Nov-10, 07:17 AM, 09:12 AM, $28.00, 32, Middletown
Nov-10, 12:17 PM, 12:42 PM, $7.25, 10, Middletown
Nov-10, 12:56 PM, 01:27 PM, $6.50, 8, Middletown
Nov-10, 04:16 PM, 05:01 PM, $5.50, 4, Middletown
Nov-10, 05:30 PM, 07:37 PM, $39.00, 44, Middletown
Nov-11, 11:18 AM, 12:35 PM, $30.25, 28, Middletown
Nov-11, 01:08 PM, 02:05 PM, $11.75, 12, Middletown
Nov-11, 02:06 PM, 02:49 PM, $11.50, 14, Middletown
Nov-12, 05:30 PM, 07:43 PM, $45.75, 52, Middletown
Nov-12, 07:49 PM, 08:18 PM, $10.50, 12, Middletown
Nov-13, 12:47 PM, 01:52 PM, $12.50, 8, Middletown
Nov-13, 05:30 PM, 07:16 PM, $28.75, 22, Middletown
Nov-13, 07:18 PM, 07:36 PM, $6.25, 8, Middletown
Nov-14, 05:17 PM, 07:13 PM, $33.00, 42, Middletown
Nov-15, 05:41 PM, 07:30 PM, $34.00, 38, Middletown
Nov-15, 07:30 PM, 07:54 PM, $12.75, 6, Middletown
Nov-16, 05:25 PM, 06:27 PM, $15.50, 12, Middletown
Nov-16, 06:27 PM, 07:53 PM, $27.50, 24, Middletown
Nov-17, 05:11 PM, 06:22 PM, $32.94, 27, Middletown
Nov-17, 06:39 PM, 07:57 PM, $23.25, 28, Middletown
Nov-18, 05:21 AM, 06:33 AM, $30.00, 24, Middletown
Nov-19, 09:02 AM, 10:05 AM, $16.50, 12, Middletown
Nov-19, 11:51 AM, 01:34 PM, $29.75, 32, Middletown
Nov-19, 05:10 PM, 08:06 PM, $62.50, 57, Middletown
Nov-19, 08:06 PM, 08:26 PM, $6.25, 5, Middletown
Nov-20, 09:08 AM, 10:34 AM, $21.25, 18, Middletown
Nov-21, 05:30 PM, 07:30 PM, $51.24, 35, Middletown
Nov-22, 08:31 PM, 08:54 PM, $5.25, 5, Middletown
Nov-23, 12:40 PM, 01:39 PM, $14.00, 12, Middletown
Nov-23, 02:25 PM, 03:14 PM, $6.00, 4, Middletown
Nov-23, 03:21 PM, 03:40 PM, $7.50, 10, Middletown
Nov-23, 03:50 PM, 04:16 PM, $7.00, 12, Middletown
Nov-23, 05:48 PM, 08:25 PM, $45.00, 62, Middletown
Nov-24, 08:33 AM, 09:31 AM, $19.75, 17, Middletown
Nov-24, 09:32 AM, 10:38 AM, $14.25, 18, Middletown
Nov-24, 12:11 PM, 01:38 PM, $28.25, 30, Middletown
Nov-29, 05:06 PM, 07:56 PM, $59.59, 48, Middletown
Nov-30, 04:22 PM, 07:30 PM, $52.75, 54, Middletown
Dec-01, 05:02 PM, 07:34 PM, $51.25, 48, Middletown
Dec-02, 03:52 PM, 04:51 PM, $20.50, 15, Middletown
Dec-03, 09:18 AM, 10:14 AM, $18.00, 12, Middletown
Dec-03, 11:07 AM, 11:58 AM, $9.25, 6, Middletown
Dec-03, 12:24 PM, 01:15 PM, $20.00, 26, Middletown
Dec-03, 05:02 PM, 07:27 PM, $57.00, 48, Middletown
Dec-04, 12:46 PM, 01:31 PM, $16.25, 12, Middletown
Dec-04, 06:27 PM, 07:59 PM, $49.27, 32, Middletown
Dec-04, 08:12 PM, 08:34 PM, $6.85, 6, Middletown
Dec-05, 05:55 AM, 07:06 AM, $22.25, 18, Middletown
Dec-05, 06:54 PM, 07:38 PM, $12.00, 14, Middletown
Dec-06, 04:32 PM, 08:10 PM, $55.95, 65, Middletown
Dec-07, 05:37 PM, 07:39 PM, $35.50, 45, Middletown
Dec-08, 05:39 AM, 06:03 AM, $12.75, 9, Middletown
Dec-08, 04:14 PM, 05:31 PM, $17.50, 22, Middletown
Dec-08, 05:32 PM, 07:32 PM, $49.00, 54, Middletown
Dec-09, 05:53 AM, 06:28 AM, $8.25, 14, Middletown
Dec-09, 12:27 PM, 01:04 PM, $15.83, 8, Middletown
Dec-09, 04:34 PM, 05:02 PM, $10.50, 20, Middletown
Dec-10, 11:24 AM, 12:19 PM, $14.75, 12, Middletown
Dec-10, 05:14 PM, 08:39 PM, $85.25, 52, Middletown
Dec-11, 11:03 AM, 12:49 PM, $23.50, 32, Middletown
Dec-11, 12:49 PM, 01:06 PM, $5.25, 8, Middletown
Dec-11, 03:44 PM, 04:29 PM, $11.25, 8, Middletown
Dec-11, 04:29 PM, 06:01 PM, $36.75, 38, Middletown
Dec-11, 06:02 PM, 07:10 PM, $21.75, 28, Middletown
Dec-12, 04:56 PM, 07:16 PM, $37.25, 26, Middletown
Dec-13, 05:31 AM, 06:06 AM, $8.25, 5, Middletown
Dec-14, 06:20 AM, 07:02 AM, $13.00, 10, Middletown
Dec-14, 12:41 PM, 01:08 PM, $6.25, 8, Middletown
Dec-14, 05:06 PM, 07:00 PM, $31.25, 28, Middletown
Dec-15, 05:31 AM, 06:27 AM, $26.00, 15, Middletown
Dec-15, 06:35 AM, 06:47 AM, $7.25, 4, Middletown
Dec-15, 12:28 PM, 12:52 PM, $12.50, 12, Middletown
Dec-15, 04:37 PM, 06:09 PM, $24.25, 20, Middletown
Dec-15, 08:50 PM, 09:31 PM, $16.00, 10, Middletown
Dec-29, 04:58 PM, 07:04 PM, $41.00, 34, Middletown
Dec-30, 04:50 PM, 06:21 PM, $28.50, 26, Middletown
Dec-30, 06:39 PM, 08:08 PM, $25.00, 42, Newark
Dec-31, 04:17 PM, 06:03 PM, $43.56, 34, Newark
Dec-31, 06:23 PM, 07:59 PM, $40.29, 50, Newark
Jan-02, 04:17 PM, 07:02 PM, $50.46, 52, Newark
Jan-03, 04:55 PM, 06:18 PM, $22.19, 38, Middletown
Jan-03, 06:20 PM, 07:01 PM, $11.75, 10, Middletown
Jan-03, 07:01 PM, 07:20 PM, $4.75, 4, Middletown
Jan-03, 08:14 PM, 09:13 PM, $18.25, 24, Middletown
Jan-04, 04:51 PM, 07:09 PM, $34.75, 30, Middletown
Jan-05, 04:47 PM, 06:25 PM, $17.50, 21, Middletown
Jan-05, 06:26 PM, 07:04 PM, $16.00, 10, Middletown
Jan-05, 07:04 PM, 07:59 PM, $22.75, 20, Middletown
Jan-06, 05:32 PM, 07:28 PM, $39.25, 36, Middletown
Jan-07, 08:38 AM, 09:15 AM, $11.50, 6, Middletown
Jan-07, 05:07 PM, 07:12 PM, $42.25, 34, Newark
Jan-08, 10:20 AM, 10:59 AM, $14.00, 18, Middletown
Jan-08, 10:59 AM, 01:00 PM, $29.25, 45, Middletown
Jan-08, 02:47 PM, 03:48 PM, $25.75, 28, Middletown
Jan-09, 04:45 PM, 06:07 PM, $17.50, 24, Middletown
Jan-09, 06:07 PM, 07:22 PM, $28.25, 22, Middletown
Jan-10, 04:48 PM, 05:32 PM, $7.25, 12, Newark
Jan-11, 04:13 PM, 05:18 PM, $12.00, 18, Middletown
Jan-11, 05:18 PM, 06:09 PM, $16.75, 14, Middletown
Jan-12, 04:49 PM, 07:39 PM, $46.00, 52, Middletown
Jan-13, 12:02 PM, 12:23 PM, $6.25, 4, Middletown
Jan-13, 04:50 PM, 06:27 PM, $37.50, 28, Middletown
Jan-14, 09:06 AM, 09:56 AM, $19.25, 12, Middletown
Jan-14, 01:21 PM, 01:56 PM, $11.50, 12, Newark
Jan-14, 02:05 PM, 02:37 PM, $6.75, 6, Newark
Jan-14, 03:04 PM, 04:39 PM, $32.50, 35, Middletown
Jan-14, 04:51 PM, 06:39 PM, $38.43, 34, Middletown
Jan-15, 09:59 AM, 11:23 AM, $26.00, 18, Middletown
Jan-15, 06:09 PM, 07:27 PM, $26.50, 22, Middletown
Jan-16, 11:28 AM, 12:02 PM, $8.25, 4, Middletown
Jan-16, 12:03 PM, 01:34 PM, $21.75, 24, Middletown
Jan-16, 06:30 PM, 07:47 PM, $22.00, 29, Middletown
Jan-17, 05:45 PM, 06:29 PM, $12.25, 20, Middletown
Jan-18, 05:16 PM, 07:45 PM, $40.50, 42, Middletown
Jan-19, 04:37 PM, 07:42 PM, $58.75, 54, Middletown
Jan-20, 06:48 AM, 07:05 AM, $3.25, 4, Middletown
Jan-20, 11:30 AM, 12:12 PM, $16.00, 14, Middletown
Jan-20, 12:15 PM, 12:48 PM, $12.25, 22, Middletown
Jan-20, 04:19 PM, 07:22 PM, $51.60, 44, Middletown
Jan-24, 06:40 AM, 07:25 AM, $15.50, 14, Middletown
Jan-24, 12:21 PM, 12:53 PM, $12.00, 13, Middletown
Jan-25, 04:31 PM, 05:30 PM, $22.09, 12, Christiana
Jan-25, 06:12 PM, 07:30 PM, $21.00, 24, Christiana
Jan-27, 04:01 PM, 05:02 PM, $11.75, 16, Middletown
Jan-27, 05:04 PM, 05:49 PM, $17.28, 15, Middletown
Jan-27, 06:14 PM, 08:08 PM, $37.50, 42, Middletown
Jan-29, 06:20 AM, 07:50 AM, $31.00, 26, Middletown
Jan-29, 09:03 AM, 10:29 AM, $27.75, 30, Middletown
Jan-29, 01:03 PM, 02:16 PM, $32.25, 30, Middletown
Jan-29, 02:19 PM, 03:15 PM, $28.75, 26, Middletown
Jan-30, 04:06 PM, 06:05 PM, $29.75, 26, Middletown
Jan-30, 06:05 PM, 06:35 PM, $13.25, 16, Middletown
Jan-31, 12:01 PM, 01:17 PM, $23.75, 18, Middletown
Jan-31, 04:24 PM, 04:51 PM, $14.25, 11, Middletown
Jan-31, 07:22 PM, 07:43 PM, $6.25, 4, Middletown
Feb-01, 04:23 PM, 06:06 PM, $39.38, 34, Christiana
Feb-01, 06:26 PM, 07:00 PM, $11.25, 8, Newark
Feb-02, 06:16 AM, 06:47 AM, $9.75, 10, Middletown
Feb-02, 04:43 PM, 06:00 PM, $18.50, 26, Middletown
Feb-02, 09:00 PM, 09:29 PM, $5.75, 6, Middletown
Feb-03, 06:39 AM, 07:00 AM, $4.25, 6, Middletown
Feb-03, 04:08 PM, 06:00 PM, $35.86, 36, Middletown
Feb-03, 06:02 PM, 08:10 PM, $37.50, 44, Middletown
Feb-03, 08:12 PM, 08:49 PM, $17.50, 21, Middletown
Feb-04, 09:27 AM, 11:02 AM, $34.75, 36, Newark
Feb-04, 01:10 PM, 02:02 PM, $18.75, 16, Newark
Feb-04, 02:15 PM, 02:36 PM, $5.75, 6, Newark
Feb-04, 05:33 PM, 07:40 PM, $31.50, 44, Newark
Feb-05, 07:27 AM, 08:01 AM, $19.00, 15, Middletown
Feb-05, 09:58 AM, 10:37 AM, $11.00, 12, Middletown
Feb-05, 03:40 PM, 04:26 PM, $18.75, 14, Christiana
Feb-05, 04:34 PM, 05:32 PM, $14.22, 10, Christiana
Feb-06, 04:10 PM, 05:14 PM, $20.75, 18, Middletown
Feb-07, 04:04 PM, 06:12 PM, $35.00, 32, Middletown
Feb-08, 04:34 PM, 07:24 PM, $58.81, 48, Middletown
Feb-09, 04:33 PM, 05:31 PM, $14.32, 20, Middletown
Feb-10, 05:36 PM, 08:31 PM, $61.25, 82, Newark
Feb-11, 09:36 AM, 10:01 AM, $8.75, 5, Middletown
Feb-11, 10:25 AM, 10:33 AM, $6.25, 10, Christiana
Feb-11, 10:33 AM, 11:16 AM, $7.00, 10, Christiana
Feb-11, 11:47 AM, 12:03 PM, $4.75, 6, Newark
Feb-11, 12:17 PM, 12:39 PM, $5.75, 7, Middletown
Feb-11, 04:25 PM, 06:02 PM, $29.75, 36, Middletown
Feb-11, 06:22 PM, 07:47 PM, $37.75, 32, Middletown
Feb-12, 09:22 AM, 11:08 AM, $40.75, 18, Middletown
Feb-12, 12:09 PM, 02:47 PM, $57.00, 34, Middletown
Feb-12, 04:22 PM, 08:14 PM, $81.87, 64, Middletown
Feb-14, 03:51 PM, 04:12 PM, $6.25, 8, Christiana
Feb-15, 04:19 PM, 05:05 PM, $17.75, 22, Christiana
Feb-15, 05:40 PM, 07:23 PM, $39.25, 32, Middletown
Feb-16, 05:10 PM, 06:50 PM, $22.25, 20, Middletown
Feb-17, 06:46 AM, 07:10 AM, $5.25, 4, Middletown
Feb-17, 11:54 AM, 12:31 PM, $12.75, 20, Middletown
Feb-17, 04:58 PM, 05:43 PM, $13.26, 12, Middletown
Feb-18, 10:35 AM, 12:15 PM, $30.50, 48, Dover
Feb-18, 03:10 PM, 03:51 PM, $13.50, 12, Middletown
Feb-18, 05:20 PM, 07:20 PM, $59.67, 50, Middletown
Feb-20, 07:30 AM, 08:09 AM, $10.75, 8, Middletown
Feb-20, 08:52 AM, 09:56 AM, $17.25, 22, Dover
Feb-21, 04:09 PM, 04:44 PM, $8.11, 6, Christiana
Feb-21, 05:07 PM, 05:37 PM, $10.25, 14, Middletown
Feb-22, 04:18 PM, 07:23 PM, $55.65, 52, Christiana
Feb-22, 07:25 PM, 07:43 PM, $8.25, 6, Newark
Feb-23, 04:16 PM, 07:20 PM, $63.25, 56, Middletown
Feb-25, 08:08 AM, 10:00 AM, $39.75, 32, Middletown
Feb-25, 05:36 PM, 06:02 PM, $15.75, 22, Christiana
Feb-26, 09:34 AM, 10:30 AM, $16.75, 28, Dover
Feb-28, 11:49 AM, 12:14 PM, $9.25, 16, Christiana
Feb-28, 04:08 PM, 05:08 PM, $11.50, 18, Christiana
Mar-01, 04:50 PM, 07:15 PM, $60.75, 54, Middletown
Mar-02, 06:45 PM, 08:00 PM, $25.00, 24, Middletown
Mar-03, 11:37 AM, 12:25 PM, $17.25, 13, Middletown
Mar-03, 04:06 PM, 07:41 PM, $74.37, 64, Middletown
Mar-04, 08:24 AM, 09:35 AM, $30.50, 22, Middletown
Mar-04, 10:57 AM, 11:13 AM, $3.00, 6, Middletown
Mar-04, 11:48 AM, 02:00 PM, $40.75, 52, Newark
Mar-04, 03:30 PM, 04:26 PM, $18.25, 13, Middletown
Mar-04, 06:36 PM, 07:03 PM, $12.75, 22, Middletown
Mar-05, 08:58 AM, 09:50 AM, $9.50, 14, Middletown
Mar-07, 04:40 PM, 05:13 PM, $16.50, 14, Christiana
Mar-08, 04:07 PM, 04:53 PM, $18.75, 16, Christiana
Mar-08, 05:02 PM, 06:45 PM, $28.25, 30, Middletown
Mar-09, 04:10 PM, 06:35 PM, $46.50, 52, Middletown
Mar-10, 04:21 PM, 07:11 PM, $67.50, 70, Middletown
Mar-10, 07:22 PM, 07:53 PM, $17.25, 21, Middletown
Mar-11, 07:55 AM, 10:32 AM, $53.36, 58, Middletown
Mar-11, 10:33 AM, 11:29 AM, $11.50, 8, Middletown
Mar-12, 10:12 AM, 12:43 PM, $60.25, 58, Middletown
Mar-14, 06:03 PM, 06:38 PM, $11.25, 13, Middletown
Mar-15, 11:43 AM, 12:12 PM, $9.00, 16, Christiana
Mar-15, 04:07 PM, 04:39 PM, $12.25, 8, Christiana
Mar-15, 05:04 PM, 07:19 PM, $64.67, 62, Middletown
Mar-16, 04:25 PM, 08:06 PM, $78.75, 92, Middletown
Mar-17, 04:44 PM, 07:20 PM, $59.95, 65, Middletown
Mar-18, 09:06 AM, 10:39 AM, $15.75, 18, Middletown
Mar-18, 04:53 PM, 06:49 PM, $55.20, 58, Middletown
Mar-20, 11:43 AM, 12:31 PM, $15.50, 18, Middletown
Mar-20, 04:48 PM, 05:32 PM, $14.25, 12, Middletown
Mar-29, 04:16 PM, 07:11 PM, $53.50, 62, Middletown
Mar-30, 04:13 PM, 06:43 PM, $65.85, 72, Middletown
Mar-31, 04:29 PM, 07:01 PM, $48.25, 52, Middletown
Mar-31, 07:01 PM, 07:41 PM, $15.50, 18, Middletown
Apr-01, 08:54 AM, 10:39 AM, $34.50, 36, Middletown
Apr-01, 02:20 PM, 06:15 PM, $81.62, 77, Middletown
Apr-02, 09:34 AM, 11:05 AM, $36.78, 42, Middletown
Apr-03, 05:38 PM, 06:58 PM, $17.50, 38, Dover
Apr-05, 04:32 PM, 06:05 PM, $24.75, 34, Middletown
Apr-05, 06:05 PM, 06:51 PM, $25.00, 32, Dover
Apr-06, 04:17 PM, 05:27 PM, $26.55, 24, Middletown
Apr-06, 05:33 PM, 07:07 PM, $35.50, 32, Middletown
Apr-07, 02:07 PM, 03:18 PM, $16.00, 26, Glasgow
Apr-07, 03:18 PM, 04:40 PM, $17.50, 42, Newark
Apr-08, 08:31 AM, 10:05 AM, $31.00, 32, Middletown
Apr-09, 07:53 AM, 09:40 AM, $40.00, 28, Middletown
Apr-09, 05:30 PM, 06:17 PM, $12.00, 8, Middletown
Apr-10, 05:25 PM, 07:43 PM, $44.25, 62, Dover
Apr-12, 04:41 PM, 07:39 PM, $64.26, 58, Middletown
Apr-13, 05:05 PM, 07:10 PM, $36.00, 41, Middletown
Apr-14, 04:14 PM, 06:42 PM, $62.26, 68, Middletown
Apr-14, 08:00 PM, 08:42 PM, $17.02, 22, Middletown
Apr-15, 02:58 PM, 03:42 PM, $9.00, 11, Middletown
Apr-16, 08:00 AM, 09:00 AM, $23.25, 32, Middletown
Apr-17, 05:29 PM, 07:46 PM, $48.50, 72, Dover
Apr-19, 05:35 PM, 07:55 PM, $40.39, 43, Middletown
Apr-20, 04:14 PM, 07:06 PM, $57.40, 62, Middletown
Apr-21, 04:45 PM, 06:50 PM, $40.00, 52, Middletown
Apr-22, 08:31 AM, 08:59 AM, $12.25, 18, Middletown
Apr-22, 09:04 AM, 09:42 AM, $10.00, 8, New Castle
Apr-22, 03:39 PM, 04:53 PM, $35.93, 48, Middletown
Apr-23, 08:24 AM, 10:15 AM, $31.25, 28, Middletown
Apr-24, 05:46 PM, 06:08 PM, $3.50, 5, Dover
Apr-24, 06:10 PM, 07:13 PM, $16.00, 24, Dover
